sub,roi,comparison,fold,acc
8,Foveal 2°,"('face', 'vehicle')",0,1.0
8,Foveal 2°,"('face', 'vehicle')",1,0.0
8,Foveal 2°,"('face', 'vehicle')",2,0.0
8,Foveal 2°,"('face', 'vehicle')",3,0.0
8,Foveal 2°,"('face', 'vehicle')",4,0.0
9,Foveal 2°,"('face', 'vehicle')",0,1.0
9,Foveal 2°,"('face', 'vehicle')",1,1.0
9,Foveal 2°,"('face', 'vehicle')",2,0.0
9,Foveal 2°,"('face', 'vehicle')",3,1.0
9,Foveal 2°,"('face', 'vehicle')",4,1.0
10,Foveal 2°,"('face', 'vehicle')",0,1.0
10,Foveal 2°,"('face', 'vehicle')",1,1.0
10,Foveal 2°,"('face', 'vehicle')",2,0.0
10,Foveal 2°,"('face', 'vehicle')",3,1.0
10,Foveal 2°,"('face', 'vehicle')",4,1.0
11,Foveal 2°,"('face', 'vehicle')",0,0.0
11,Foveal 2°,"('face', 'vehicle')",1,0.0
11,Foveal 2°,"('face', 'vehicle')",2,1.0
11,Foveal 2°,"('face', 'vehicle')",3,1.0
11,Foveal 2°,"('face', 'vehicle')",4,0.0
12,Foveal 2°,"('face', 'vehicle')",0,1.0
12,Foveal 2°,"('face', 'vehicle')",1,1.0
12,Foveal 2°,"('face', 'vehicle')",2,1.0
12,Foveal 2°,"('face', 'vehicle')",3,0.0
12,Foveal 2°,"('face', 'vehicle')",4,0.0
13,Foveal 2°,"('face', 'vehicle')",0,1.0
13,Foveal 2°,"('face', 'vehicle')",1,1.0
13,Foveal 2°,"('face', 'vehicle')",2,0.0
13,Foveal 2°,"('face', 'vehicle')",3,1.0
13,Foveal 2°,"('face', 'vehicle')",4,0.0
14,Foveal 2°,"('face', 'vehicle')",0,0.0
14,Foveal 2°,"('face', 'vehicle')",1,1.0
14,Foveal 2°,"('face', 'vehicle')",2,1.0
14,Foveal 2°,"('face', 'vehicle')",3,0.0
14,Foveal 2°,"('face', 'vehicle')",4,0.0
15,Foveal 2°,"('face', 'vehicle')",0,0.0
15,Foveal 2°,"('face', 'vehicle')",1,1.0
15,Foveal 2°,"('face', 'vehicle')",2,1.0
15,Foveal 2°,"('face', 'vehicle')",3,0.0
15,Foveal 2°,"('face', 'vehicle')",4,0.0
16,Foveal 2°,"('face', 'vehicle')",0,0.0
16,Foveal 2°,"('face', 'vehicle')",1,0.0
16,Foveal 2°,"('face', 'vehicle')",2,0.0
16,Foveal 2°,"('face', 'vehicle')",3,0.0
16,Foveal 2°,"('face', 'vehicle')",4,1.0
17,Foveal 2°,"('face', 'vehicle')",0,1.0
17,Foveal 2°,"('face', 'vehicle')",1,0.0
17,Foveal 2°,"('face', 'vehicle')",2,1.0
17,Foveal 2°,"('face', 'vehicle')",3,1.0
17,Foveal 2°,"('face', 'vehicle')",4,1.0
18,Foveal 2°,"('face', 'vehicle')",0,1.0
18,Foveal 2°,"('face', 'vehicle')",1,1.0
18,Foveal 2°,"('face', 'vehicle')",2,0.0
18,Foveal 2°,"('face', 'vehicle')",3,0.0
18,Foveal 2°,"('face', 'vehicle')",4,0.0
19,Foveal 2°,"('face', 'vehicle')",0,0.0
19,Foveal 2°,"('face', 'vehicle')",1,1.0
19,Foveal 2°,"('face', 'vehicle')",2,1.0
